temperature_celsius,humidity_percent,pressure_hpa,wind_speed_kmh,precipitation_mm,solar_radiation_wm2,soil_moisture_percent,air_quality_index,noise_level_db,traffic_count
26.7,64.3,1108.0,55.3,32.2,0.0,100.0,0.0,-720.4,17572.0
29.8,73.2,951.0,-27.2,0.0,2136.0,0.0,0.0,-1889.4,37813.0
30.4,80.9,1042.0,17.6,9.8,403.0,41.2,538.0,247.7,0.0
27.5,67.5,803.0,-96.4,0.0,4834.0,0.0,3710.0,1508.2,0.0
18.9,39.0,832.0,-74.3,0.0,3593.0,0.0,454.0,188.8,0.0
28.6,72.7,1064.0,32.9,18.2,0.0,64.3,0.0,-129.6,4989.0
16.9,34.7,923.0,-28.3,0.0,1697.0,0.0,0.0,-1717.7,33854.0
18.9,42.1,1031.0,23.3,13.1,0.0,50.8,0.0,-855.0,18726.0
23.0,48.6,1039.0,25.5,15.0,0.0,54.3,0.0,-120.4,4235.0
20.4,49.0,996.0,5.8,2.8,474.0,22.8,1126.0,464.6,0.0
29.3,71.4,1080.0,38.0,21.5,0.0,74.9,3893.0,1582.7,0.0
27.1,69.0,1015.0,8.6,3.7,685.0,27.9,558.0,247.4,0.0
27.4,68.4,924.0,-38.2,0.0,2532.0,0.0,0.0,-129.3,2080.0
21.5,50.7,1190.0,102.7,60.5,0.0,100.0,0.0,-2020.3,45247.0
26.2,61.3,832.0,-81.1,0.0,4242.0,0.0,223.0,109.3,0.0
31.3,81.5,1139.0,66.0,38.8,0.0,100.0,982.0,425.6,0.0
18.8,43.8,1011.0,15.3,8.6,33.0,38.5,0.0,-120.7,3724.0
21.5,50.8,941.0,-23.7,0.0,1718.0,0.0,3857.0,1555.1,0.0
22.3,54.4,1068.0,39.9,23.1,0.0,78.5,0.0,-1569.2,33760.0
19.9,44.0,942.0,-20.0,0.0,1472.0,0.0,55.0,31.2,0.0
25.7,62.9,1028.0,15.6,7.7,346.0,40.3,0.0,-783.7,17195.0
28.4,71.9,1038.0,19.3,10.4,269.0,44.8,1715.0,712.5,0.0
26.6,63.5,1089.0,47.8,26.8,0.0,88.8,613.0,268.7,0.0
25.3,65.3,800.0,-96.0,0.0,4765.0,0.0,0.0,-419.6,5464.0
32.5,82.0,1009.0,0.8,0.0,1194.0,14.1,2755.0,1137.6,0.0
21.4,51.1,907.0,-40.8,0.0,2361.0,0.0,0.0,-1103.7,21245.0
24.3,56.4,1080.0,43.8,24.5,0.0,82.7,0.0,-1917.4,40931.0
32.6,81.8,1039.0,14.5,8.1,550.0,37.9,0.0,-1045.2,22678.0
28.6,69.8,1221.0,108.8,65.6,0.0,100.0,0.0,-1674.5,39004.0
17.6,35.2,1100.0,62.1,35.9,0.0,100.0,1.0,5.4,2963.0
37.5,95.2,1095.0,39.9,22.6,0.0,77.9,0.0,-223.8,7477.0
30.6,72.2,890.0,-57.5,0.0,3324.0,0.0,0.0,-686.3,12591.0
29.0,71.4,1036.0,17.7,9.5,334.0,38.9,0.0,-710.1,15972.0
20.6,44.5,977.0,-5.2,0.0,874.0,8.7,0.0,-1090.6,22411.0
21.0,48.0,959.0,-14.6,0.0,1273.0,0.0,555.0,232.7,0.0
31.1,78.6,1176.0,83.9,49.8,0.0,100.0,0.0,-1179.8,28139.0
27.3,63.9,847.0,-73.7,0.0,3895.0,0.0,1169.0,491.2,0.0
25.5,61.4,893.0,-50.4,0.0,2928.0,0.0,0.0,-599.4,10896.0
29.3,74.2,965.0,-18.3,0.0,1819.0,0.0,0.0,-343.9,7190.0
18.0,39.0,899.0,-40.2,0.0,2221.0,0.0,0.0,-1007.7,19157.0
28.3,67.3,1040.0,20.8,11.6,167.0,47.1,546.0,242.4,0.0
23.7,58.2,919.0,-35.4,0.0,2321.0,0.0,1279.0,531.0,0.0
30.1,76.4,981.0,-11.8,0.0,1587.0,0.0,0.0,-497.4,10598.0
24.7,57.7,1133.0,69.9,41.0,0.0,100.0,0.0,-1505.6,33782.0
22.5,50.0,1090.0,50.3,29.6,0.0,97.2,0.0,-1613.0,35098.0
20.9,48.3,1218.0,117.7,69.7,0.0,100.0,0.0,-1104.9,27518.0
28.0,65.8,953.0,-23.2,0.0,1939.0,0.0,33.0,40.1,0.0
16.4,34.8,892.0,-42.5,0.0,2248.0,0.0,279.0,114.6,0.0
33.2,82.6,1130.0,60.4,35.1,0.0,100.0,0.0,-1697.0,37543.0
25.0,59.4,1010.0,8.4,4.5,525.0,28.9,511.0,222.9,0.0
26.9,64.3,924.0,-37.4,0.0,2455.0,0.0,0.0,-403.0,7565.0
15.8,34.8,948.0,-12.7,0.0,1055.0,0.0,2976.0,1194.1,0.0
20.7,47.4,1083.0,50.0,29.2,0.0,94.8,0.0,-471.8,12146.0
42.3,109.4,1038.0,6.7,3.0,1327.0,23.3,0.0,-719.0,16204.0
25.0,62.4,831.0,-81.5,0.0,4178.0,0.0,0.0,-62.0,0.0
27.9,69.3,934.0,-32.6,0.0,2302.0,0.0,1029.0,436.7,0.0
18.0,39.3,1014.0,17.9,9.5,0.0,40.7,5032.0,2017.5,0.0
15.1,29.0,1187.0,106.9,63.9,0.0,100.0,0.0,-1515.8,35064.0
20.5,46.9,979.0,-3.4,0.0,865.0,10.2,645.0,270.6,0.0
29.8,75.8,1002.0,-0.6,0.0,1163.0,11.6,2724.0,1119.0,0.0
31.0,75.5,1044.0,20.4,10.8,288.0,44.3,451.0,210.9,0.0
20.0,47.8,1121.0,68.7,40.6,0.0,100.0,4838.0,1946.3,0.0
22.5,49.7,933.0,-26.9,0.0,1837.0,0.0,0.0,-64.4,974.0
25.6,60.8,1168.0,88.7,52.2,0.0,100.0,0.0,-1134.2,27105.0
13.0,23.9,961.0,-3.3,0.0,618.0,5.5,0.0,-287.9,5975.0
26.2,63.1,997.0,1.3,0.0,902.0,17.4,0.0,-348.8,8008.0
29.3,69.7,830.0,-85.5,0.0,4483.0,0.0,2875.0,1180.6,0.0
30.2,73.3,1112.0,55.0,32.3,0.0,100.0,0.0,-763.0,18541.0
26.7,61.2,1023.0,13.9,7.5,373.0,37.9,660.0,286.8,0.0
22.7,54.5,1095.0,53.7,32.0,0.0,100.0,1360.0,559.7,0.0
25.5,64.9,1147.0,75.2,44.6,0.0,100.0,2552.0,1041.5,0.0
24.3,51.1,911.0,-38.6,0.0,2381.0,0.0,0.0,-840.3,16075.0
19.3,42.3,1110.0,65.3,38.1,0.0,100.0,2854.0,1147.2,0.0
22.2,50.3,1059.0,36.2,20.3,0.0,70.8,0.0,-375.9,9732.0
23.4,50.7,1184.0,96.5,56.8,0.0,100.0,0.0,-339.0,11463.0
37.2,97.1,1268.0,125.8,74.1,0.0,100.0,0.0,-315.5,12687.0
22.1,53.2,954.0,-16.4,0.0,1388.0,0.0,0.0,-840.3,16924.0
25.9,60.5,1059.0,32.7,19.4,0.0,65.3,1033.0,434.1,0.0
23.7,57.0,942.0,-24.6,0.0,1838.0,0.0,2033.0,830.1,0.0
20.9,43.8,917.0,-33.8,0.0,2078.0,0.0,1357.0,553.4,0.0
26.3,64.1,1115.0,59.6,35.8,0.0,100.0,0.0,-1272.4,28801.0
18.1,38.9,1211.0,115.0,68.0,0.0,100.0,3811.0,1529.9,0.0
21.2,51.5,988.0,-0.1,0.0,800.0,13.9,749.0,314.3,0.0
25.1,59.2,830.0,-80.8,0.0,4162.0,0.0,0.0,-91.0,0.0
27.1,66.6,1032.0,17.6,9.5,273.0,41.7,0.0,-398.3,9630.0
30.4,76.9,1129.0,63.3,37.2,0.0,100.0,0.0,-1549.2,34602.0
29.4,73.5,1118.0,56.8,33.0,0.0,100.0,1765.0,733.2,0.0
15.3,30.8,864.0,-55.1,0.0,2782.0,0.0,1969.0,787.1,0.0
34.3,85.7,981.0,-15.1,0.0,1860.0,0.0,869.0,387.3,0.0
23.4,57.4,874.0,-57.5,0.0,3146.0,0.0,2454.0,997.0,0.0
49.5,131.0,1212.0,84.5,50.1,0.0,100.0,0.0,-1453.1,34357.0
34.0,87.5,1089.0,38.5,21.4,0.0,75.7,709.0,321.5,0.0
21.6,47.4,1070.0,43.5,24.5,0.0,82.5,0.0,-1720.2,36843.0
23.9,55.7,1050.0,29.7,17.5,0.0,63.3,2856.0,1160.7,0.0
27.2,65.9,934.0,-31.3,0.0,2263.0,0.0,990.0,418.9,0.0
35.5,94.2,1182.0,83.3,49.4,0.0,100.0,306.0,163.0,1388.0
26.7,70.1,1008.0,4.5,1.9,862.0,20.8,0.0,-1785.2,36960.0
22.3,53.7,1143.0,77.4,45.1,0.0,100.0,0.0,-1382.2,31482.0
25.7,62.7,975.0,-10.6,0.0,1335.0,0.0,0.0,-2233.9,45190.0
23.9,56.1,844.0,-74.2,0.0,3840.0,0.0,2248.0,915.9,0.0
25.0,61.2,991.0,-0.5,0.0,904.0,13.6,0.0,-397.0,8764.0
28.7,70.6,733.0,-132.8,0.0,6406.0,0.0,451.0,208.9,0.0
29.8,78.1,1186.0,91.1,54.1,0.0,100.0,0.0,-1068.7,26128.0
27.1,70.1,1111.0,56.1,32.2,0.0,100.0,2646.0,1084.3,0.0
19.4,41.4,954.0,-13.6,0.0,1206.0,0.0,3742.0,1504.6,0.0
20.4,47.8,1020.0,18.3,10.0,0.0,43.4,1380.0,563.0,0.0
24.3,54.9,1244.0,126.6,74.4,0.0,100.0,1122.0,464.7,0.0
26.1,63.3,926.0,-33.3,0.0,2240.0,0.0,1365.0,567.5,0.0
21.7,47.3,872.0,-55.8,0.0,3015.0,0.0,0.0,-705.3,12613.0
29.3,70.5,1174.0,87.0,52.1,0.0,100.0,896.0,387.2,0.0
22.6,53.4,924.0,-30.4,0.0,1970.0,0.0,0.0,-357.7,6721.0
21.8,51.0,1035.0,22.8,13.2,0.0,53.3,0.0,-717.4,16073.0
20.3,45.6,893.0,-46.3,0.0,2519.0,0.0,3325.0,1340.1,0.0
25.9,61.7,881.0,-54.9,0.0,3175.0,0.0,2189.0,899.0,0.0
21.3,46.6,1036.0,25.1,14.3,0.0,54.6,0.0,-174.8,5229.0
26.8,68.8,1046.0,23.6,13.4,22.0,53.9,10.0,26.4,1414.0
25.3,62.3,942.0,-26.1,0.0,1953.0,0.0,0.0,-556.0,11019.0
26.9,66.2,1302.0,152.3,90.0,0.0,100.0,0.0,-1056.5,28207.0
24.6,60.3,948.0,-20.9,0.0,1720.0,0.0,439.0,195.3,0.0
23.7,53.4,970.0,-9.1,0.0,1182.0,0.0,0.0,-1202.3,24537.0
20.4,47.1,999.0,7.0,2.5,466.0,25.6,1714.0,699.4,0.0
26.6,63.7,965.0,-16.7,0.0,1612.0,0.0,0.0,-455.1,9384.0
30.3,77.2,1050.0,22.5,12.5,204.0,49.8,79.0,61.5,806.0
32.7,82.8,1085.0,38.4,21.8,0.0,75.1,0.0,-1667.0,36087.0
25.2,59.4,1138.0,73.1,42.7,0.0,100.0,1810.0,743.4,0.0
19.6,45.6,816.0,-82.4,0.0,3953.0,0.0,0.0,-232.0,2018.0
19.8,45.5,918.0,-32.6,0.0,1995.0,0.0,0.0,-2877.6,56906.0
27.9,73.8,970.0,-14.1,0.0,1682.0,0.0,0.0,-540.3,11288.0
25.3,64.4,1037.0,22.1,11.4,89.0,48.3,1472.0,611.8,0.0
19.8,43.9,961.0,-10.9,0.0,1119.0,0.0,0.0,-1434.4,28969.0
27.9,71.3,1070.0,34.9,20.4,0.0,70.1,0.0,-608.5,14584.0
35.9,94.8,1037.0,11.4,5.4,898.0,29.8,0.0,-1049.3,22766.0
17.9,38.1,1084.0,52.1,31.1,0.0,98.2,0.0,-70.2,4026.0
27.2,66.7,995.0,-1.7,0.0,1027.0,10.5,0.0,-1766.0,36246.0
22.6,56.0,1096.0,53.3,30.7,0.0,99.5,0.0,-60.0,4216.0
23.2,54.0,1103.0,56.4,33.1,0.0,100.0,0.0,-1880.1,40724.0
19.4,46.5,906.0,-38.2,0.0,2286.0,0.0,0.0,-1322.8,25600.0
9.8,13.3,939.0,-11.8,0.0,710.0,0.0,4519.0,1797.5,0.0
16.9,33.5,919.0,-29.1,0.0,1734.0,0.0,0.0,-1350.5,26436.0
24.5,56.2,1038.0,22.9,13.7,0.0,51.7,1127.0,469.3,0.0
19.0,41.0,1055.0,37.3,21.5,0.0,74.5,1762.0,713.6,0.0
18.1,38.4,932.0,-23.9,0.0,1558.0,0.0,2868.0,1151.7,0.0
37.4,96.7,1045.0,13.6,7.3,849.0,33.8,4363.0,1789.8,0.0
19.5,45.3,949.0,-17.4,0.0,1381.0,0.0,552.0,229.4,0.0
34.3,90.1,1021.0,4.2,1.6,1064.0,20.3,692.0,316.5,0.0
19.3,43.7,1104.0,61.0,34.8,0.0,100.0,677.0,279.9,0.0
21.4,49.9,949.0,-18.0,0.0,1482.0,0.0,134.0,64.9,0.0
25.5,56.4,979.0,-7.6,0.0,1200.0,2.7,1879.0,775.3,0.0
31.8,74.8,717.0,-143.2,0.0,6847.0,0.0,0.0,-148.7,0.0
28.4,70.0,1065.0,33.5,18.7,0.0,68.1,0.0,-330.0,8956.0
23.8,57.8,954.0,-18.5,0.0,1580.0,0.0,0.0,-245.6,5057.0
27.9,71.7,832.0,-83.8,0.0,4392.0,0.0,3166.0,1293.7,0.0
33.8,89.0,1016.0,3.2,1.0,1156.0,18.6,0.0,-779.8,16931.0
26.1,65.2,1240.0,123.3,73.2,0.0,100.0,0.0,-1374.3,33296.0
28.3,68.3,1077.0,39.9,22.7,0.0,79.6,2594.0,1062.8,0.0
17.1,35.5,969.0,-4.1,0.0,709.0,7.4,809.0,327.6,0.0
20.8,46.0,887.0,-49.3,0.0,2727.0,0.0,0.0,-906.4,16900.0
28.8,69.0,1056.0,28.5,15.9,0.0,58.7,0.0,-590.0,14001.0
32.7,89.0,1052.0,21.3,11.5,375.0,46.7,0.0,-470.8,11451.0
15.2,34.0,1066.0,44.8,25.4,0.0,86.6,0.0,-712.2,16521.0
26.1,66.0,994.0,-0.4,0.0,1033.0,12.6,2592.0,1057.8,0.0
28.9,71.4,1024.0,12.0,6.2,536.0,34.1,0.0,-235.6,6177.0
30.8,77.6,945.0,-30.1,0.0,2320.0,0.0,3864.0,1577.5,0.0
18.1,38.0,1046.0,35.1,19.7,0.0,67.9,0.0,-633.8,14687.0
20.4,42.0,817.0,-83.0,0.0,4049.0,0.0,759.0,315.2,0.0
27.4,69.5,888.0,-54.3,0.0,3197.0,0.0,0.0,-1002.4,18813.0
18.9,43.5,1006.0,12.3,6.8,174.0,32.6,1181.0,479.8,0.0
25.1,58.6,1104.0,55.7,31.9,0.0,100.0,0.0,-444.7,11987.0
25.1,58.1,1035.0,21.4,11.8,20.0,47.1,0.0,-110.7,3937.0
27.0,64.4,1036.0,18.4,10.2,264.0,45.7,0.0,-110.0,3937.0
23.3,54.5,1059.0,35.7,20.0,0.0,72.0,0.0,-1684.6,35989.0
27.3,66.5,1069.0,35.6,21.0,0.0,70.7,0.0,-1394.4,30335.0
26.0,58.9,1103.0,55.4,32.3,0.0,100.0,462.0,206.2,0.0
29.2,74.2,904.0,-49.6,0.0,3077.0,0.0,0.0,-299.0,5055.0
25.6,61.1,1154.0,79.9,47.3,0.0,100.0,879.0,372.9,0.0
20.7,50.1,954.0,-15.0,0.0,1357.0,0.0,0.0,-370.4,7540.0
26.6,61.5,962.0,-16.2,0.0,1653.0,0.0,0.0,-869.4,17706.0
25.5,62.3,885.0,-53.7,0.0,3064.0,0.0,0.0,-1179.0,22387.0
23.6,57.8,1232.0,121.5,71.2,0.0,100.0,675.0,288.3,0.0
32.9,83.1,983.0,-13.0,0.0,1746.0,0.0,636.0,288.5,0.0
25.0,60.9,985.0,-4.5,0.0,1102.0,7.1,474.0,209.4,0.0
23.0,57.1,1178.0,94.8,55.5,0.0,100.0,2336.0,951.0,0.0
20.8,49.5,981.0,-2.0,0.0,836.0,9.8,0.0,-523.6,11101.0
14.7,28.7,986.0,7.8,2.9,169.0,25.6,0.0,-441.5,9608.0
22.4,55.0,1084.0,47.2,27.4,0.0,89.6,0.0,-1147.8,25640.0
23.9,55.0,1031.0,20.2,11.1,57.0,47.8,0.0,-708.1,15843.0
28.2,67.6,961.0,-18.9,0.0,1770.0,0.0,0.0,-448.0,9207.0
23.5,62.3,1088.0,48.5,27.9,0.0,91.3,1536.0,632.2,0.0
19.4,42.4,1214.0,116.6,68.9,0.0,100.0,1065.0,434.9,0.0
26.6,64.2,1019.0,10.5,5.4,526.0,31.0,0.0,-130.3,3990.0
23.7,56.8,1096.0,52.2,30.2,0.0,98.2,3983.0,1610.9,0.0
23.5,56.8,962.0,-15.7,0.0,1408.0,0.0,0.0,-376.9,7728.0
31.5,76.5,1121.0,57.4,32.9,0.0,100.0,0.0,-1542.2,34311.0
26.9,68.4,1146.0,71.7,42.6,0.0,100.0,0.0,-694.6,17816.0
28.1,68.1,977.0,-11.2,0.0,1478.0,0.0,0.0,-682.3,14193.0
21.7,48.8,1015.0,14.1,7.7,250.0,35.1,0.0,-1077.3,22878.0
18.8,43.3,1014.0,16.2,9.2,5.0,41.5,0.0,-75.2,2807.0
22.6,53.7,1085.0,47.3,27.3,0.0,90.1,0.0,-1519.7,33091.0
22.8,52.5,1004.0,8.8,3.8,501.0,27.5,0.0,-1776.1,36648.0
24.8,62.5,838.0,-76.8,0.0,3973.0,0.0,66.0,45.9,0.0
29.2,72.0,907.0,-45.9,0.0,2959.0,0.0,3236.0,1319.8,0.0
29.0,69.7,990.0,-4.4,0.0,1234.0,4.9,0.0,-1472.9,30293.0
28.0,68.1,935.0,-31.4,0.0,2227.0,0.0,0.0,-1885.1,37452.0
27.4,70.5,1182.0,90.7,53.9,0.0,100.0,0.0,-1527.0,35157.0
20.0,45.3,990.0,3.3,1.7,558.0,20.6,2169.0,879.8,0.0
31.1,76.7,893.0,-56.6,0.0,3421.0,0.0,0.0,-1723.4,33371.0
25.3,59.2,909.0,-40.1,0.0,2569.0,0.0,0.0,-822.3,15672.0
28.2,69.4,970.0,-13.3,0.0,1488.0,0.0,1761.0,729.3,0.0
29.1,71.1,955.0,-22.5,0.0,2013.0,0.0,187.0,101.6,0.0
24.8,59.0,1015.0,12.4,6.3,408.0,33.9,4879.0,1971.9,0.0
17.0,33.6,978.0,1.5,0.0,535.0,16.8,0.0,-2515.8,50885.0
21.0,46.7,1031.0,22.8,13.2,0.0,52.6,0.0,-206.7,5896.0
27.2,69.4,872.0,-63.1,0.0,3530.0,0.0,0.0,-1743.1,33294.0
20.4,48.9,1003.0,6.7,4.0,392.0,26.9,2616.0,1060.3,0.0
15.3,29.9,974.0,0.4,0.0,488.0,14.8,543.0,217.3,0.0
25.4,59.2,928.0,-32.1,0.0,2144.0,0.0,253.0,120.7,0.0
16.4,32.6,1110.0,67.5,39.7,0.0,100.0,0.0,-198.1,7215.0
25.3,61.1,1002.0,5.8,2.0,722.0,21.7,0.0,-413.9,9413.0
22.1,53.3,852.0,-67.3,0.0,3499.0,0.0,0.0,-324.2,4603.0
30.2,75.1,1063.0,30.9,16.6,0.0,61.8,4322.0,1761.4,0.0
19.7,43.4,960.0,-10.6,0.0,1074.0,0.0,0.0,-445.8,9152.0
18.2,41.4,1042.0,30.2,17.2,0.0,62.1,157.0,73.5,422.0
30.1,76.5,1059.0,28.6,15.0,0.0,57.8,0.0,-624.8,14752.0
19.2,42.1,906.0,-36.8,0.0,2123.0,0.0,1554.0,629.1,0.0
29.3,69.3,1099.0,49.1,28.4,0.0,93.2,0.0,-497.5,12955.0
27.5,66.9,914.0,-44.3,0.0,2773.0,0.0,0.0,-1471.5,28733.0
41.6,109.1,892.0,-66.8,0.0,4189.0,0.0,0.0,-578.5,10504.0
19.5,45.9,1148.0,82.8,48.8,0.0,100.0,1219.0,499.4,0.0
28.1,68.0,1064.0,33.2,18.3,0.0,64.9,4266.0,1732.5,0.0
16.9,34.6,1129.0,76.1,44.5,0.0,100.0,0.0,-1872.9,41071.0
27.9,66.3,992.0,-4.7,0.0,1164.0,7.2,247.0,126.3,0.0
17.2,36.6,939.0,-18.6,0.0,1398.0,0.0,0.0,-1275.0,25376.0
25.1,61.3,1014.0,9.5,4.9,492.0,29.4,0.0,-777.1,16852.0
25.4,60.8,1079.0,43.4,25.1,0.0,82.1,0.0,-561.4,13879.0
29.8,73.5,882.0,-60.6,0.0,3463.0,0.0,0.0,-200.4,2655.0
24.3,55.2,964.0,-12.8,0.0,1411.0,0.0,5718.0,2306.2,0.0
26.1,64.0,1244.0,123.5,73.5,0.0,100.0,6672.0,2690.7,0.0
26.0,63.1,1084.0,45.8,26.6,0.0,86.2,4868.0,1967.2,0.0
25.4,63.0,1102.0,54.8,31.4,0.0,100.0,0.0,-602.8,15187.0
20.9,49.6,1056.0,34.6,19.7,0.0,69.8,1525.0,622.5,0.0
28.4,68.8,849.0,-75.0,0.0,4033.0,0.0,0.0,-879.4,15610.0
22.7,54.0,1016.0,13.8,7.4,316.0,36.6,193.0,93.4,0.0
27.1,64.6,1144.0,73.2,42.8,0.0,100.0,4603.0,1864.0,0.0
19.1,43.4,843.0,-70.4,0.0,3518.0,0.0,0.0,-474.3,7391.0
25.1,60.4,1113.0,60.7,35.7,0.0,100.0,2012.0,822.5,0.0
27.3,67.1,1077.0,39.4,22.2,0.0,77.4,0.0,-561.7,13826.0
23.4,55.8,954.0,-19.3,0.0,1628.0,0.0,0.0,-279.6,5694.0
21.7,50.3,1039.0,26.9,14.6,0.0,57.0,2655.0,1072.7,0.0
19.5,43.3,1052.0,35.8,20.6,0.0,70.6,555.0,229.8,0.0
23.5,55.1,1203.0,106.6,62.7,0.0,100.0,4884.0,1970.0,0.0
24.3,56.2,1064.0,37.0,21.8,0.0,73.8,1932.0,793.5,0.0
25.5,61.4,875.0,-59.1,0.0,3315.0,0.0,0.0,-917.9,16885.0
21.9,52.0,984.0,-1.3,0.0,790.0,12.4,1824.0,743.0,0.0
28.9,71.1,1093.0,44.8,26.4,0.0,85.9,1858.0,772.4,0.0
28.2,71.1,1055.0,28.2,16.8,0.0,60.1,228.0,119.1,0.0
25.8,66.6,1006.0,2.6,1.1,832.0,18.8,0.0,-635.9,13763.0
24.2,59.9,1042.0,25.9,14.0,0.0,55.8,212.0,104.2,0.0
23.6,55.5,1059.0,35.4,20.0,0.0,70.1,1620.0,664.4,0.0
24.3,55.6,1062.0,35.1,19.5,0.0,69.5,1344.0,558.5,0.0
24.6,62.1,860.0,-66.9,0.0,3553.0,0.0,1030.0,430.9,0.0
17.4,38.5,993.0,6.6,2.8,336.0,27.2,1428.0,579.4,0.0
22.8,52.8,1041.0,24.9,14.3,0.0,54.7,632.0,266.6,0.0
23.6,56.3,973.0,-9.9,0.0,1263.0,1.3,2995.0,1218.2,0.0
19.2,41.8,981.0,0.9,0.0,602.0,14.9,0.0,-293.3,6610.0
18.0,36.2,1025.0,22.8,12.3,0.0,48.9,816.0,331.3,0.0
21.8,52.3,1068.0,41.0,23.4,0.0,79.4,5592.0,2251.6,0.0
35.9,90.9,1132.0,59.8,34.7,0.0,100.0,2329.0,973.8,0.0
31.5,80.4,1038.0,17.3,9.5,493.0,41.1,2301.0,956.3,0.0
26.9,68.2,992.0,-2.8,0.0,1078.0,8.3,0.0,-350.9,7923.0
20.8,44.8,1027.0,20.8,11.3,0.0,47.4,0.0,-1683.5,35224.0
28.1,69.7,958.0,-20.3,0.0,1798.0,0.0,0.0,-679.9,13743.0
26.4,63.7,1162.0,82.1,48.8,0.0,100.0,0.0,-1614.9,36542.0
21.2,50.2,1074.0,43.6,25.3,0.0,82.6,2701.0,1094.8,0.0
24.3,55.9,1075.0,41.1,24.6,0.0,80.7,2254.0,918.7,0.0
26.8,66.4,984.0,-6.3,0.0,1201.0,4.0,0.0,-563.7,11980.0
25.0,60.5,964.0,-14.6,0.0,1518.0,0.0,0.0,-386.4,8030.0
31.9,80.5,1020.0,5.5,2.5,956.0,21.7,1678.0,705.6,0.0
24.6,60.0,963.0,-14.7,0.0,1507.0,0.0,0.0,-311.3,6544.0
27.5,65.6,903.0,-46.8,0.0,2818.0,0.0,0.0,-1113.9,21463.0
22.7,51.2,1099.0,55.8,32.3,0.0,100.0,3643.0,1474.8,0.0
19.5,40.5,993.0,5.6,2.6,450.0,24.2,1786.0,724.6,0.0
22.5,51.7,1058.0,35.0,20.2,0.0,71.6,3438.0,1393.0,0.0
27.4,67.4,936.0,-30.4,0.0,2178.0,0.0,0.0,-749.4,14758.0
24.0,55.1,995.0,1.7,0.0,763.0,16.8,46.0,34.1,206.0
27.9,70.5,904.0,-47.8,0.0,2949.0,0.0,2665.0,1091.2,0.0
27.6,67.4,1119.0,60.9,35.6,0.0,100.0,0.0,-582.6,15090.0
25.8,61.1,962.0,-15.6,0.0,1566.0,0.0,5169.0,2088.0,0.0
17.2,39.0,987.0,4.5,1.6,460.0,21.9,0.0,-1444.1,29659.0
22.9,54.8,903.0,-43.5,0.0,2581.0,0.0,660.0,281.1,0.0
